article,author,lab-size
Electroacupuncture Treatment Improves Neurological Function Associated with Regulation of Tight Junction Proteins in Rats with Cerebral Ischemia Reperfusion Injury,Hong Xu,N/A
Electroacupuncture Treatment Improves Neurological Function Associated with Regulation of Tight Junction Proteins in Rats with Cerebral Ischemia Reperfusion Injury,Hua Sun,N/A
Electroacupuncture Treatment Improves Neurological Function Associated with Regulation of Tight Junction Proteins in Rats with Cerebral Ischemia Reperfusion Injury,Su-Hui Chen,N/A
Electroacupuncture Treatment Improves Neurological Function Associated with Regulation of Tight Junction Proteins in Rats with Cerebral Ischemia Reperfusion Injury,Fu-Ming Wang,N/A
The phosphatidylinositol-3 kinase I inhibitor BKM120 induces cell death in B-chronic lymphocytic leukemia cells in vitro,May Shawi,50
The phosphatidylinositol-3 kinase I inhibitor BKM120 induces cell death in B-chronic lymphocytic leukemia cells in vitro,Lawrence Panasci,N/A
The phosphatidylinositol-3 kinase I inhibitor BKM120 induces cell death in B-chronic lymphocytic leukemia cells in vitro,Jeremy Grenier,36
The phosphatidylinositol-3 kinase I inhibitor BKM120 induces cell death in B-chronic lymphocytic leukemia cells in vitro,Raquel Aloyz,N/A
RAS promotes tumorigenesis through genomic instability induced by imbalanced expression of Aurora-A and BRCA2 in midbody during cytokinesis,Imelda Mercado-Uribe,50
RAS promotes tumorigenesis through genomic instability induced by imbalanced expression of Aurora-A and BRCA2 in midbody during cytokinesis,Asha S Multani,N/A
RAS promotes tumorigenesis through genomic instability induced by imbalanced expression of Aurora-A and BRCA2 in midbody during cytokinesis,Subrata Sen,N/A
RAS promotes tumorigenesis through genomic instability induced by imbalanced expression of Aurora-A and BRCA2 in midbody during cytokinesis,Ie-Ming Shih,N/A
Targeting breast cancer-initiating/stem cells with melanoma differentiation-associated gene-7/interleukin-24,Paul Dent,N/A
Targeting breast cancer-initiating/stem cells with melanoma differentiation-associated gene-7/interleukin-24,Swadesh K Das,50
Targeting breast cancer-initiating/stem cells with melanoma differentiation-associated gene-7/interleukin-24,Belal Azab,N/A
Targeting breast cancer-initiating/stem cells with melanoma differentiation-associated gene-7/interleukin-24,Mitchell E Menezes,50
Caveolin-1 is a novel regulator of K-RAS-dependent migration in colon carcinogenesis,Eugene W Gerner,50
Caveolin-1 is a novel regulator of K-RAS-dependent migration in colon carcinogenesis,Upal K Basu Roy,N/A
Caveolin-1 is a novel regulator of K-RAS-dependent migration in colon carcinogenesis,Fotios Loupakis,N/A
Caveolin-1 is a novel regulator of K-RAS-dependent migration in colon carcinogenesis,Chiara Cremolini,50
HtrA1 in human urothelial bladder cancer: A secreted protein and a potential novel biomarker,Maria Lorenzi,50
HtrA1 in human urothelial bladder cancer: A secreted protein and a potential novel biomarker,Emma Altobelli,50
HtrA1 in human urothelial bladder cancer: A secreted protein and a potential novel biomarker,Daniela Marzioni,50
HtrA1 in human urothelial bladder cancer: A secreted protein and a potential novel biomarker,Emanuela Mensà,50
Tiam1 is associated with hepatocellular carcinoma metastasis,Xianghua Ye,N/A
Tiam1 is associated with hepatocellular carcinoma metastasis,Jian Guan,N/A
Tiam1 is associated with hepatocellular carcinoma metastasis,Bin Chen,N/A
Tiam1 is associated with hepatocellular carcinoma metastasis,Qisheng Li,36
"c-Secretase inhibitor I induces apoptosis in chronic lymphocytic leukemia cells by proteasome inhibition, endoplasmic reticulum stress increase and Notch down-regulation",Rita Sabatini,N/A
"c-Secretase inhibitor I induces apoptosis in chronic lymphocytic leukemia cells by proteasome inhibition, endoplasmic reticulum stress increase and Notch down-regulation",Filomena De Falco,50
"c-Secretase inhibitor I induces apoptosis in chronic lymphocytic leukemia cells by proteasome inhibition, endoplasmic reticulum stress increase and Notch down-regulation",Beatrice Del Papa,N/A
"c-Secretase inhibitor I induces apoptosis in chronic lymphocytic leukemia cells by proteasome inhibition, endoplasmic reticulum stress increase and Notch down-regulation",Franca Falzetti,N/A
Inhibition of rhabdomyosarcoma cell and tumor growth by targeting specificity protein (Sp) transcription factors,Satya Pathi,50
Inhibition of rhabdomyosarcoma cell and tumor growth by targeting specificity protein (Sp) transcription factors,Indira Jutooru,N/A
Inhibition of rhabdomyosarcoma cell and tumor growth by targeting specificity protein (Sp) transcription factors,Sandeep Sreevalsan,29
Inhibition of rhabdomyosarcoma cell and tumor growth by targeting specificity protein (Sp) transcription factors,Gayathri Chadalapaka,50
Cross-talk of alpha tocopherol-associated protein and JNK controls the oxidative stress-induced apoptosis in prostate cancer cells,Baoyi Zhu,N/A
Cross-talk of alpha tocopherol-associated protein and JNK controls the oxidative stress-induced apoptosis in prostate cancer cells,Yuying Zhang,N/A
Cross-talk of alpha tocopherol-associated protein and JNK controls the oxidative stress-induced apoptosis in prostate cancer cells,Chunwei Ye,N/A
Cross-talk of alpha tocopherol-associated protein and JNK controls the oxidative stress-induced apoptosis in prostate cancer cells,Yu Wang,N/A
"Ovarian cancer cells, not normal cells, are damaged by Mirk/Dyrk1B kinase inhibition",Eileen Friedman,50
"Ovarian cancer cells, not normal cells, are damaged by Mirk/Dyrk1B kinase inhibition",Holly Deng,N/A
Physical characterisation of Tenacibaculum maritimum for vaccine development,J. Carson,N/A
Physical characterisation of Tenacibaculum maritimum for vaccine development,Nicholas Gudkovs,N/A
Physical characterisation of Tenacibaculum maritimum for vaccine development,B.F. Nowak,N/A
HD-GYP domain proteins regulate biofilm formation and virulence in Pseudomonas aeruginosa,Jean F Lucey,N/A
HD-GYP domain proteins regulate biofilm formation and virulence in Pseudomonas aeruginosa,Karen O'Donovan,N/A
HD-GYP domain proteins regulate biofilm formation and virulence in Pseudomonas aeruginosa,Yvonne McCarthy,N/A
HD-GYP domain proteins regulate biofilm formation and virulence in Pseudomonas aeruginosa,Liang Yang,50
High cellular organization of pyoverdine biosynthesis in Pseudomonas aeruginosa: clustering of PvdA at the old cell poleemi_274,Laurent Guillon,30
High cellular organization of pyoverdine biosynthesis in Pseudomonas aeruginosa: clustering of PvdA at the old cell poleemi_274,Maher El Mecherki,N/A
High cellular organization of pyoverdine biosynthesis in Pseudomonas aeruginosa: clustering of PvdA at the old cell poleemi_274,Stephan Altenburger,15
High cellular organization of pyoverdine biosynthesis in Pseudomonas aeruginosa: clustering of PvdA at the old cell poleemi_274,Peter L. Graumann,50
Interplay of RsbM and RsbK controls the sB activity of Bacillus cereuse,Jung-Chi Chen,N/A
Interplay of RsbM and RsbK controls the sB activity of Bacillus cereuse,Jwu-Ching Shu,N/A
Interplay of RsbM and RsbK controls the sB activity of Bacillus cereuse,Chien-Yen Chen,N/A
Interplay of RsbM and RsbK controls the sB activity of Bacillus cereuse,Ssu-Ching Chen,50
Introduction of 65 kDa Antigen of Mycobacterium tuberculosis to Cancer Cells Enhances Anti-Tumor Effect of BCG Therapy,Noriyuki Sato,N/A
Preparation of Monoclonal Antibodies Cross-Reactive with Orthopoxviruses and Their Application for Direct Immunofluorescence Test,Takayuki Kobayashi,N/A
Preparation of Monoclonal Antibodies Cross-Reactive with Orthopoxviruses and Their Application for Direct Immunofluorescence Test,Yoji Kato,50
Preparation of Monoclonal Antibodies Cross-Reactive with Orthopoxviruses and Their Application for Direct Immunofluorescence Test,Nobutaka Wakamiya,N/A
Preparation of Monoclonal Antibodies Cross-Reactive with Orthopoxviruses and Their Application for Direct Immunofluorescence Test,Kazuyoshi Ikuta,N/A
Expression of bovine (Bos indicus) interleukin-18 in Escherichia coli and its biological activity,Dowlathabad Muralidhara Rao,50
Expression of bovine (Bos indicus) interleukin-18 in Escherichia coli and its biological activity,H.J. Dechamma,50
Expression of bovine (Bos indicus) interleukin-18 in Escherichia coli and its biological activity,Veluvarthy V.S. Suryanarayana,N/A
Expression of bovine (Bos indicus) interleukin-18 in Escherichia coli and its biological activity,Golla Ramalinga Reddy,N/A
"Investigation of the roles of T6SS genes in motility, biofilm formation and extracellular protease Asp production in Vibrio alginolyticus with modified Gateway-compatible plasmids",Huan Liu,19
"Investigation of the roles of T6SS genes in motility, biofilm formation and extracellular protease Asp production in Vibrio alginolyticus with modified Gateway-compatible plasmids",Yuanxing Zhang,N/A
"Investigation of the roles of T6SS genes in motility, biofilm formation and extracellular protease Asp production in Vibrio alginolyticus with modified Gateway-compatible plasmids",Lili Sheng,50
"Investigation of the roles of T6SS genes in motility, biofilm formation and extracellular protease Asp production in Vibrio alginolyticus with modified Gateway-compatible plasmids",Dongfeng Gu,N/A
Multiple controls affect arsenite oxidase gene expression in Herminiimonas arsenicoxydans,Jessica Cleiss-Arnold,50
Multiple controls affect arsenite oxidase gene expression in Herminiimonas arsenicoxydans,Caroline Proux,N/A
Multiple controls affect arsenite oxidase gene expression in Herminiimonas arsenicoxydans,Marie-Agnès Dillies,N/A
Multiple controls affect arsenite oxidase gene expression in Herminiimonas arsenicoxydans,Odile Sismeiro,N/A
Multidrug resistance protein MdtM adds to the repertoire of antiporters involved in alkaline pH homeostasis in Escherichia coli,Scarlett R Holdsworth,N/A
Genome-wide incorporation dynamics reveal distinct categories of turnover for the histone variant H3.3,Wenfei Jin,50
Genome-wide incorporation dynamics reveal distinct categories of turnover for the histone variant H3.3,Alika K Maunakea,50
Genome-wide incorporation dynamics reveal distinct categories of turnover for the histone variant H3.3,Misook Ha,50
Genome-wide incorporation dynamics reveal distinct categories of turnover for the histone variant H3.3,Brian J. Abraham,50
Honokiol activates AMP-activated protein kinase in breast cancer cells via an LKB1-dependent pathway and inhibits breast carcinogenesis,Michael Y. Bonner,N/A
Honokiol activates AMP-activated protein kinase in breast cancer cells via an LKB1-dependent pathway and inhibits breast carcinogenesis,Neeraj K Saxena,50
Honokiol activates AMP-activated protein kinase in breast cancer cells via an LKB1-dependent pathway and inhibits breast carcinogenesis,Dipali Sharma,50
Honokiol activates AMP-activated protein kinase in breast cancer cells via an LKB1-dependent pathway and inhibits breast carcinogenesis,Arumugam Nagalingam,50
"Loss of plakoglobin promotes decreased cell-cell contact, increased invasion and breast cancer cell dissemination in vivo",Jacob Whitworth,N/A
"Loss of plakoglobin promotes decreased cell-cell contact, increased invasion and breast cancer cell dissemination in vivo",Faith Nutter,50
"Loss of plakoglobin promotes decreased cell-cell contact, increased invasion and breast cancer cell dissemination in vivo",Alyson Evans,50
"Loss of plakoglobin promotes decreased cell-cell contact, increased invasion and breast cancer cell dissemination in vivo",Hannah K Brown,50
A novel function for p21Cip1 and acetyltransferase p/CAF as critical transcriptional regulators of TGFb-mediated breast cancer cell migration and invasion,Amal A Al-Odaini,17
A novel function for p21Cip1 and acetyltransferase p/CAF as critical transcriptional regulators of TGFb-mediated breast cancer cell migration and invasion,Ani Arakelian,N/A
A novel function for p21Cip1 and acetyltransferase p/CAF as critical transcriptional regulators of TGFb-mediated breast cancer cell migration and invasion,Shafaat A Rabbani,N/A
A novel function for p21Cip1 and acetyltransferase p/CAF as critical transcriptional regulators of TGFb-mediated breast cancer cell migration and invasion,Suhad Ali,50
JMJD6 is a driver of cellular proliferation and motility and a marker of poor prognosis in breast cancer,Lance D Miller,N/A
JMJD6 is a driver of cellular proliferation and motility and a marker of poor prognosis in breast cancer,Xiu Bin Chan,11
JMJD6 is a driver of cellular proliferation and motility and a marker of poor prognosis in breast cancer,Michael A. Black,50
JMJD6 is a driver of cellular proliferation and motility and a marker of poor prognosis in breast cancer,Brendan Pang,50
Cyclin D1 cooperates with p21 to regulate TGFb-mediated breast cancer cell migration and tumor local invasion,Amal A Al-Odaini,17
Cyclin D1 cooperates with p21 to regulate TGFb-mediated breast cancer cell migration and tumor local invasion,Manuel Villatoro,N/A
Cyclin D1 cooperates with p21 to regulate TGFb-mediated breast cancer cell migration and tumor local invasion,Jimin Guo,N/A
Cyclin D1 cooperates with p21 to regulate TGFb-mediated breast cancer cell migration and tumor local invasion,Nadège Fils-Aimé,N/A
Ubiquitin-conjugating enzyme complex Uev1A-Ubc13 promotes breast cancer metastasis through nuclear factor-_B mediated matrix metalloproteinase-1 gene regulation,Zhaojia Wu,23
Ubiquitin-conjugating enzyme complex Uev1A-Ubc13 promotes breast cancer metastasis through nuclear factor-_B mediated matrix metalloproteinase-1 gene regulation,Siqi Shen,14
Ubiquitin-conjugating enzyme complex Uev1A-Ubc13 promotes breast cancer metastasis through nuclear factor-_B mediated matrix metalloproteinase-1 gene regulation,Zhiling Zhang,N/A
Ubiquitin-conjugating enzyme complex Uev1A-Ubc13 promotes breast cancer metastasis through nuclear factor-_B mediated matrix metalloproteinase-1 gene regulation,Weiwei Zhang,N/A
Low titre autoantibodies against recoverin in sera of patients with small cell lung cancer but without a loss of vision,Olga N Shifrina,N/A
Low titre autoantibodies against recoverin in sera of patients with small cell lung cancer but without a loss of vision,Marina S. Savchenko,N/A
Low titre autoantibodies against recoverin in sera of patients with small cell lung cancer but without a loss of vision,N K Tikhomirova,N/A
Low titre autoantibodies against recoverin in sera of patients with small cell lung cancer but without a loss of vision,Maria A. Goncharskaia,N/A
Antirecoverin autoantibodies in the patient with non-small cell lung cancer but without cancer-associated retinopathy,Alexandr V. Bazhin,N/A
Antirecoverin autoantibodies in the patient with non-small cell lung cancer but without cancer-associated retinopathy,Olga N Shifrina,N/A
Antirecoverin autoantibodies in the patient with non-small cell lung cancer but without cancer-associated retinopathy,Sofia A Demoura,N/A
Antirecoverin autoantibodies in the patient with non-small cell lung cancer but without cancer-associated retinopathy,Eugenia A. Kogan,N/A
Up-regulation of focal adhesion kinase in non-small cell lung cancer,Giorgia Zadra,N/A
Up-regulation of focal adhesion kinase in non-small cell lung cancer,Valentina Vaira,N/A
Up-regulation of focal adhesion kinase in non-small cell lung cancer,Monica Falleni,50
Up-regulation of focal adhesion kinase in non-small cell lung cancer,Luca Bottiglieri,50
In vitro susceptibility to the pro-apoptotic effects of TIMP-3 gene delivery translates to greater in vivo efficacy versus gene delivery for TIMPs-1 or -2,A Drynda,N/A
In vitro susceptibility to the pro-apoptotic effects of TIMP-3 gene delivery translates to greater in vivo efficacy versus gene delivery for TIMPs-1 or -2,Christian A Seemayer,N/A
In vitro susceptibility to the pro-apoptotic effects of TIMP-3 gene delivery translates to greater in vivo efficacy versus gene delivery for TIMPs-1 or -2,Paul H. A. Quax,N/A
In vitro susceptibility to the pro-apoptotic effects of TIMP-3 gene delivery translates to greater in vivo efficacy versus gene delivery for TIMPs-1 or -2,J H Verheijen,N/A
Ellipticine-induced apoptosis depends on Akt translocation and signaling in lung epithelial cancer cells,Chia-Wei Lin,N/A
Ellipticine-induced apoptosis depends on Akt translocation and signaling in lung epithelial cancer cells,Kang Fang,N/A
Ellipticine-induced apoptosis depends on Akt translocation and signaling in lung epithelial cancer cells,Wan-Chun Cheng,N/A
Ellipticine-induced apoptosis depends on Akt translocation and signaling in lung epithelial cancer cells,Hwei-Tien Huang,N/A
Kaiso is expressed in lung cancer: Its expression and localization is affected by p120ctn,Yan Wang,N/A
Kaiso is expressed in lung cancer: Its expression and localization is affected by p120ctn,Gui-Yang Jiang,N/A
Kaiso is expressed in lung cancer: Its expression and localization is affected by p120ctn,Peng-Xin Zhang,26
Kaiso is expressed in lung cancer: Its expression and localization is affected by p120ctn,Xin-Jun Dong,N/A
"Expression of Mina53, a novel c-Myc target gene, is a favorable prognostic marker in early stage lung cancer",Naoko Sueoka-Aragane,N/A
"Expression of Mina53, a novel c-Myc target gene, is a favorable prognostic marker in early stage lung cancer",Akemi Sato,N/A
Invasiveness and anchorage independent growth ability augmented by PTEN inactivation through the PI3K/AKT/NFkB pathway in lung cancer cells,Hakan Akca,50
Invasiveness and anchorage independent growth ability augmented by PTEN inactivation through the PI3K/AKT/NFkB pathway in lung cancer cells,Onur Tokgun,50
Invasiveness and anchorage independent growth ability augmented by PTEN inactivation through the PI3K/AKT/NFkB pathway in lung cancer cells,Jun Yokota,N/A
Frequent methylation and oncogenic role of microRNA-34b/c in small-cell lung cancer,Shinichi Toyooka,N/A
Frequent methylation and oncogenic role of microRNA-34b/c in small-cell lung cancer,Junichi Soh,50
Frequent methylation and oncogenic role of microRNA-34b/c in small-cell lung cancer,Takafumi Kubo,N/A
Frequent methylation and oncogenic role of microRNA-34b/c in small-cell lung cancer,Hiromasa Yamamoto,N/A
Increased levels of bioactive IL-16 correlate with disease activity during relapsing experimental autoimmune encephalomyelitis (EAE),Dusanka S Skundric,48
Increased levels of bioactive IL-16 correlate with disease activity during relapsing experimental autoimmune encephalomyelitis (EAE),Weili Zhou,N/A
Increased levels of bioactive IL-16 correlate with disease activity during relapsing experimental autoimmune encephalomyelitis (EAE),Rujuan Dai,11
"Differential regulation of Cu, Zn- and Mn-superoxide dismutases by retinoic acid in normal and psoriatic human fibroblasts",Loïc Petzold,N/A
"Differential regulation of Cu, Zn- and Mn-superoxide dismutases by retinoic acid in normal and psoriatic human fibroblasts",Patrice Therond,50
"Differential regulation of Cu, Zn- and Mn-superoxide dismutases by retinoic acid in normal and psoriatic human fibroblasts",Wayne B. Anderson,N/A
"Differential regulation of Cu, Zn- and Mn-superoxide dismutases by retinoic acid in normal and psoriatic human fibroblasts",Danièle Evain-Brion,N/A
Autoantibodies from Sj拧gren's syndrome induce activation of both the intrinsic and extrinsic apoptotic pathways in human salivary gland cell line A-253,Margherita Sisto,N/A
Autoantibodies from Sj拧gren's syndrome induce activation of both the intrinsic and extrinsic apoptotic pathways in human salivary gland cell line A-253,P Scagliusi,N/A
Autoantibodies from Sj拧gren's syndrome induce activation of both the intrinsic and extrinsic apoptotic pathways in human salivary gland cell line A-253,M D'Amore,N/A
Autoantibodies from Sj拧gren's syndrome induce activation of both the intrinsic and extrinsic apoptotic pathways in human salivary gland cell line A-253,Donatello Castellana,N/A
Expression of extra trinucleotide in CD44 variant of rheumatoid arthritis patients allows generation of disease-specific monoclonal antibody,Itshak Golan,40
Expression of extra trinucleotide in CD44 variant of rheumatoid arthritis patients allows generation of disease-specific monoclonal antibody,Ira Golan,N/A
Expression of extra trinucleotide in CD44 variant of rheumatoid arthritis patients allows generation of disease-specific monoclonal antibody,Lora Eshkar-Sebban,N/A
Expression of extra trinucleotide in CD44 variant of rheumatoid arthritis patients allows generation of disease-specific monoclonal antibody,David Levartovsky,50
Cellular and humoral immune responses in the early stages of diabetic nephropathy in NOD mice,Bin Ma,50
Cellular and humoral immune responses in the early stages of diabetic nephropathy in NOD mice,Baojun Dong,31
Cellular and humoral immune responses in the early stages of diabetic nephropathy in NOD mice,Peng Zhao,50
Cellular and humoral immune responses in the early stages of diabetic nephropathy in NOD mice,Ningwen Tai,50
Anti-ribosomal-P antibodies accelerate lupus glomerulonephritis and induce lupus nephritis in nai_ve mice,Miri Blank,N/A
Anti-ribosomal-P antibodies accelerate lupus glomerulonephritis and induce lupus nephritis in nai_ve mice,Sandra Reuter,N/A
Anti-ribosomal-P antibodies accelerate lupus glomerulonephritis and induce lupus nephritis in nai_ve mice,Torsten Matthias,N/A
Anti-ribosomal-P antibodies accelerate lupus glomerulonephritis and induce lupus nephritis in nai_ve mice,Inbal Beiglass,N/A
Interleukin-1 b inhibits NaC-KCATPase activity and protein expression in cardiac myocytes,Christina Abou-Chahine,N/A
Interleukin-1 b inhibits NaC-KCATPase activity and protein expression in cardiac myocytes,Randa Hilal-Dandan,N/A
cDNA cloning and functional analysis of goose interleukin-2,Ji-Gang Chen,N/A
cDNA cloning and functional analysis of goose interleukin-2,Jin-Yong Wang,N/A
cDNA cloning and functional analysis of goose interleukin-2,Jian-Xiang Wu,N/A
cDNA cloning and functional analysis of goose interleukin-2,Hui Gong,N/A
TNF-a down-regulates the NaCeKC ATPase and the Na+-K+-2Cl- cotransporter in the rat colon via PGE2,O de Muylder,N/A
TNF-a down-regulates the NaCeKC ATPase and the Na+-K+-2Cl- cotransporter in the rat colon via PGE2,F L Hebborn,N/A
Roles of p38 and ERK MAP kinases in IL-8 expression in TNF-a- and dexamethasone-stimulated human periodontal ligament cells,Jin-Woo Cho,N/A
Roles of p38 and ERK MAP kinases in IL-8 expression in TNF-a- and dexamethasone-stimulated human periodontal ligament cells,Sang-Cheol Kim,N/A
Roles of p38 and ERK MAP kinases in IL-8 expression in TNF-a- and dexamethasone-stimulated human periodontal ligament cells,Kyung-Hwa Kang,50
Roles of p38 and ERK MAP kinases in IL-8 expression in TNF-a- and dexamethasone-stimulated human periodontal ligament cells,Sun-Kyung Lee,N/A
Time-dependent onset of Interferon-a2b-induced apoptosis in isolated hepatocytes from preneoplastic rat livers,María de Luján Alvarez,N/A
Time-dependent onset of Interferon-a2b-induced apoptosis in isolated hepatocytes from preneoplastic rat livers,Ariel D Quiroga,N/A
Time-dependent onset of Interferon-a2b-induced apoptosis in isolated hepatocytes from preneoplastic rat livers,María Teresa Ronco,50
Time-dependent onset of Interferon-a2b-induced apoptosis in isolated hepatocytes from preneoplastic rat livers,Justina E Ochoa,N/A
STAT1 and STAT3 phosphorylation by porins are independent of JAKs but are dependent on MAPK pathway and plays a role in U937 cells production of interleukin-6,Mariateresa Vitiello,N/A
STAT1 and STAT3 phosphorylation by porins are independent of JAKs but are dependent on MAPK pathway and plays a role in U937 cells production of interleukin-6,Marina D'Isanto,N/A
STAT1 and STAT3 phosphorylation by porins are independent of JAKs but are dependent on MAPK pathway and plays a role in U937 cells production of interleukin-6,Katia Raieta,47
STAT1 and STAT3 phosphorylation by porins are independent of JAKs but are dependent on MAPK pathway and plays a role in U937 cells production of interleukin-6,Emilia Galdiero,50
Tumor necrosis factor alpha down-regulates the Na+-K+ ATPase and the Na+-K+2Cl- cotransporter in the kidney cortex and medulla,Nicholas R Ferreri,50
Tumor necrosis factor alpha down-regulates the Na+-K+ ATPase and the Na+-K+2Cl- cotransporter in the kidney cortex and medulla,Paulina L Pedraza,N/A
Tumor necrosis factor alpha down-regulates the Na+-K+ ATPase and the Na+-K+2Cl- cotransporter in the kidney cortex and medulla,Bruno Escalante,50
Tumor necrosis factor alpha down-regulates the Na+-K+ ATPase and the Na+-K+2Cl- cotransporter in the kidney cortex and medulla,Carlos P. Vio,50
Upregulation of tumor necrosis factor-alpha expression by trans10-cis12 conjugated linoleic acid enhances phagocytosis of RAW macrophages via a peroxisome proliferator-activated receptor gamma-dependent pathway,Geun-Shik Lee,N/A
Upregulation of tumor necrosis factor-alpha expression by trans10-cis12 conjugated linoleic acid enhances phagocytosis of RAW macrophages via a peroxisome proliferator-activated receptor gamma-dependent pathway,Eui-Bae Jeung,N/A
Upregulation of tumor necrosis factor-alpha expression by trans10-cis12 conjugated linoleic acid enhances phagocytosis of RAW macrophages via a peroxisome proliferator-activated receptor gamma-dependent pathway,Mhan-Pyo Yang,50
Upregulation of tumor necrosis factor-alpha expression by trans10-cis12 conjugated linoleic acid enhances phagocytosis of RAW macrophages via a peroxisome proliferator-activated receptor gamma-dependent pathway,Deok-Ho Song,N/A
The distribution of interleukin-19 in healthy and neoplastic tissue,Hsing-Hui Li,50
The distribution of interleukin-19 in healthy and neoplastic tissue,Yu-Hsiang Hsu,50
The distribution of interleukin-19 in healthy and neoplastic tissue,Chung-Liang Ho,N/A
The distribution of interleukin-19 in healthy and neoplastic tissue,Shih-Sung Chuang,N/A
The interaction of butyrate with TNF-alpha during differentiation and apoptosis of colon epithelial cells: role of NF-kappaB activation,Jirina Hofmanová,N/A
The interaction of butyrate with TNF-alpha during differentiation and apoptosis of colon epithelial cells: role of NF-kappaB activation,Jiří Pacherník,N/A
The interaction of butyrate with TNF-alpha during differentiation and apoptosis of colon epithelial cells: role of NF-kappaB activation,Alena Vaculová,50
The interaction of butyrate with TNF-alpha during differentiation and apoptosis of colon epithelial cells: role of NF-kappaB activation,Alois Kozubík,N/A
Effects of ethanol on monosodium urate crystal-induced inflammation,Tuneyoshi Ka,N/A
Effects of ethanol on monosodium urate crystal-induced inflammation,Asako Yamamoto,N/A
Effects of ethanol on monosodium urate crystal-induced inflammation,Yuji Moriwaki,N/A
Effects of ethanol on monosodium urate crystal-induced inflammation,Sumio Takahashi,N/A
Differential chemokine expression in tubular cells in response to urinary proteins from patients with nephrotic syndrome,Zhao Huang,N/A
Differential chemokine expression in tubular cells in response to urinary proteins from patients with nephrotic syndrome,Shu-Feng Zhou,50
Differential chemokine expression in tubular cells in response to urinary proteins from patients with nephrotic syndrome,Xue-Qing Yu,N/A
Anti-inflammatory effect of aldose reductase inhibition in murine polymicrobial sepsis,Satish K. Srivastava,N/A
Anti-inflammatory effect of aldose reductase inhibition in murine polymicrobial sepsis,Kota V Ramana,50
IL-13 induces translocation of NF-kappaB in cultured human bronchial smooth muscle cells,Yoshihiko Chiba,50
IL-13 induces translocation of NF-kappaB in cultured human bronchial smooth muscle cells,Miwa Misawa,N/A
Effect of sodium butyrate on lung vascular TNFSF15 (TL1A) expression: Differential expression patterns in pulmonary artery and microvascular endothelial cells,Miwa Misawa,N/A
Effect of sodium butyrate on lung vascular TNFSF15 (TL1A) expression: Differential expression patterns in pulmonary artery and microvascular endothelial cells,Miwa Misawa,N/A
STAT3 induces muscle stem cell differentiation by interaction with myoD,Ying Xu,N/A
STAT3 induces muscle stem cell differentiation by interaction with myoD,Wei Li,N/A
STAT3 induces muscle stem cell differentiation by interaction with myoD,Guanjun Wang,N/A
STAT3 induces muscle stem cell differentiation by interaction with myoD,Yanqiu Song,N/A
Signaling pathway underlying the up-regulatory effect of TNF-a on the Na+/K+ ATPase in HepG2 cells,Sawsan Ibrahim Kreydiyyeh,50
Signaling pathway underlying the up-regulatory effect of TNF-a on the Na+/K+ ATPase in HepG2 cells,Zeina Dakroub,N/A
Signaling pathway underlying the up-regulatory effect of TNF-a on the Na+/K+ ATPase in HepG2 cells,Ola El Zein,12
MKP-1 regulates cytokine mRNA stability through selectively modulation subcellular translocation of AUF1,Yuhao Sun,N/A
MKP-1 regulates cytokine mRNA stability through selectively modulation subcellular translocation of AUF1,Courtney J Haycraft,N/A
MKP-1 regulates cytokine mRNA stability through selectively modulation subcellular translocation of AUF1,Viswanathan Palanisamy,50
MKP-1 regulates cytokine mRNA stability through selectively modulation subcellular translocation of AUF1,Keith L Kirkwood,50
"Adiponectin stimulates release of CCL2, -3, -4 and -5 while the surface abundance of CCR2 and -5 is simultaneously reduced in primary human monocytes",Celeste Faia,N/A
"Adiponectin stimulates release of CCL2, -3, -4 and -5 while the surface abundance of CCR2 and -5 is simultaneously reduced in primary human monocytes",Dorota Wyczechowska,50
"Adiponectin stimulates release of CCL2, -3, -4 and -5 while the surface abundance of CCR2 and -5 is simultaneously reduced in primary human monocytes",Duane Jeansonne,50
"Adiponectin stimulates release of CCL2, -3, -4 and -5 while the surface abundance of CCR2 and -5 is simultaneously reduced in primary human monocytes",Cecilia Vittori,N/A
Upregulation of PIAS1 protects against sodium taurocholate-induced severe acute pancreatitis associated with acute lung injury,Liya Huang,N/A
Upregulation of PIAS1 protects against sodium taurocholate-induced severe acute pancreatitis associated with acute lung injury,Yunwei Sun,N/A
Upregulation of PIAS1 protects against sodium taurocholate-induced severe acute pancreatitis associated with acute lung injury,Yaozong Yuan,N/A
CXCR1 and CXCR2 are novel mechano-sensors mediating laminar shear stress-induced endothelial cell migration,Ye Zeng,50
CXCR1 and CXCR2 are novel mechano-sensors mediating laminar shear stress-induced endothelial cell migration,Xiao-Jing Liu,N/A
CXCR1 and CXCR2 are novel mechano-sensors mediating laminar shear stress-induced endothelial cell migration,Hu-Rong Sun,N/A
CXCR1 and CXCR2 are novel mechano-sensors mediating laminar shear stress-induced endothelial cell migration,Chang Yu,N/A
Autocrine production of interleukin-8 confers cisplatin and paclitaxel resistance in ovarian cancer cells,Ye Qu,N/A
Autocrine production of interleukin-8 confers cisplatin and paclitaxel resistance in ovarian cancer cells,Xiu-Long Niu,50
Autocrine production of interleukin-8 confers cisplatin and paclitaxel resistance in ovarian cancer cells,Wei Jia Sun,N/A
Autocrine production of interleukin-8 confers cisplatin and paclitaxel resistance in ovarian cancer cells,Xiao Lei Zhang,N/A
